"","start","end","length_time","correlation","rsquared","p_value","Sing_level"
"15007900","2011-05-01","2015-09-01","29","0.2437","0.0594","0.202612"," "
"","","","","","","",""
"65000200","1998-05-01","2008-10-01","66","0.367","0.1347","0.002435","**"
"","","","","","","",""
"73019000","2003-10-01","2006-09-01","18","0.329","0.1083","0.182472"," "
"73019000","2012-10-01","2016-08-01","23","0.4372","0.1911","0.036983","*"
"","","","","","","",""
"18034800","1990-05-01","2001-09-01","71","0.0938","0.0088","0.436362"," "
"18034800","2002-05-01","2009-09-01","47","0.1849","0.0342","0.213407"," "
"","","","","","","",""
"18030400","1990-05-01","2001-06-01","68","0.1153","0.0133","0.349137"," "
"18030400","2002-05-01","2007-07-01","33","0.234","0.0547","0.190004"," "
"","","","","","","",""
"73000400","1996-05-01","2003-10-01","48","0.5895","0.3475","1e-05","***"
"","","","","","","",""
"10005800","1998-06-01","2002-08-01","27","0.5264","0.2771","0.004793","**"
"","","","","","","",""
"27018400","2000-05-01","2004-10-01","30","0.4394","0.1931","0.015127","*"
"27018400","2006-05-01","2016-10-01","66","0.32","0.1024","0.00882","**"
"","","","","","","",""
"10004800","1998-06-01","2004-10-01","41","0.5984","0.3581","3.6e-05","***"
"10004800","2006-05-01","2015-09-01","59","0.3545","0.1257","0.00587","**"
"","","","","","","",""
"27009500","1995-05-01","2001-10-01","42","0.5269","0.2776","0.000338","***"
"","","","","","","",""
"27010700","2011-05-01","2013-10-01","18","0.6222","0.3871","0.005829","**"
"","","","","","","",""
"31045400","2001-08-01","2011-09-01","62","0.3203","0.1026","0.011141","*"
"","","","","","","",""
"27008800","1992-05-01","1995-06-01","20","0.4197","0.1762","0.065415","."
"27008800","1995-08-01","2001-10-01","39","0.5755","0.3312","0.000127","***"
"","","","","","","",""
"31020600","1998-05-01","2012-10-01","90","0.4597","0.2113","5e-06","***"
"","","","","","","",""
"2008000","1993-05-01","2000-10-01","48","0.4445","0.1976","0.00155","**"
"2008000","2008-05-01","2013-07-01","33","0.7058","0.4981","4e-06","***"
"","","","","","","",""
"82004200","2002-09-01","2005-10-01","20","-0.0011","0","0.9963"," "
"82004200","2006-06-01","2017-09-01","70","0.0698","0.0049","0.566104"," "
"","","","","","","",""
"82002100","1996-05-01","2003-10-01","48","0.6404","0.4101","1e-06","***"
"","","","","","","",""
"82002500","1996-05-01","2009-08-01","82","0.1619","0.0262","0.146302"," "
"","","","","","","",""
"82003100","2004-05-01","2009-08-01","34","0.1986","0.0394","0.260277"," "
"","","","","","","",""
"69024100","1998-05-01","2004-09-01","41","0.2367","0.056","0.13616"," "
"69024100","2007-05-01","2011-07-01","27","0.4065","0.1653","0.035352","*"
"","","","","","","",""
"61007200","1991-05-01","2004-09-01","83","0.3815","0.1456","0.000372","***"
"","","","","","","",""
"56076000","1995-07-01","2010-05-01","89","0.0957","0.0092","0.372549"," "
"","","","","","","",""
"56032800","1992-05-01","2004-06-01","74","0.1193","0.0142","0.311472"," "
"56032800","2005-05-01","2010-07-01","33","0.0171","3e-04","0.924653"," "
"","","","","","","",""
"56024200","1990-05-01","1994-09-01","29","0.3771","0.1422","0.043712","*"
"56024200","1995-05-01","2006-09-01","71","0.1472","0.0217","0.220439"," "
"56024200","2007-05-01","2012-09-01","35","0.1857","0.0345","0.285481"," "
"56024200","2013-08-01","2017-10-01","27","0.1561","0.0244","0.436793"," "
"","","","","","","",""
"56011600","1997-05-01","2002-09-01","35","0.0817","0.0067","0.640764"," "
"56011600","2003-05-01","2007-09-01","29","0.2892","0.0837","0.128052"," "
"","","","","","","",""
"21005600","1994-05-01","1997-09-01","23","0.0239","6e-04","0.913653"," "
"21005600","1998-05-01","2001-09-01","23","0.2539","0.0644","0.242465"," "
