"","ID","Start_Year","End_Year","Length","R_Linear","R_Quar","R_Exponen","Correlation","pvalue"
"443"," "," "," "," "," "," "," "," "," "
"444","21007900","1990","2005","16","1e-04","0.4593","1e-04","-0.008","0.976"
"445"," "," "," "," "," "," "," "," "," "
"446","21008100","1994","2008","15","0.0266","0.0278","0.0265","-0.163","0.5617"
"447"," "," "," "," "," "," "," "," "," "
"448","21008300","1990","2016","27","0.0697","0.0663","0.0698","0.264","0.1832"
"449"," "," "," "," "," "," "," "," "," "
"450","21008500","1992","2013","22","0.0534","0.107","0.0534","0.231","0.301"
"451"," "," "," "," "," "," "," "," "," "
"452","21009200","1993","2016","24","0.0023","0.3224","0.0023","0.048","0.8225"
"453"," "," "," "," "," "," "," "," "," "
"454","21009400","1995","2016","22","0.0306","0.1466","0.0306","0.175","0.4359"
"455"," "," "," "," "," "," "," "," "," "
"456","21010300","1993","2016","24","0.0129","0.0356","0.0129","0.114","0.5967"
"457"," "," "," "," "," "," "," "," "," "
"458","21010600","1991","2016","26","0.2689","0.3297","0.269","0.519","0.0066"
"459"," "," "," "," "," "," "," "," "," "
"460","21012300","1990","2016","27","0.0688","0.1267","0.0689","0.262","0.1861"
"461"," "," "," "," "," "," "," "," "," "
"462","21014000","1996","2016","21","0.0702","0.6628","0.0703","0.265","0.2456"
"463"," "," "," "," "," "," "," "," "," "
"464","21014400","1990","2016","27","0.0106","0.4162","0.0106","0.103","0.6095"
"465"," "," "," "," "," "," "," "," "," "
"466","21014500","1997","2016","20","0.0654","0.0762","0.0654","0.256","0.2764"
"467"," "," "," "," "," "," "," "," "," "
"468","21016000","1996","2016","21","0.0889","0.8165","0.0889","0.298","0.1891"
"469"," "," "," "," "," "," "," "," "," "
"470","21021200","1990","2016","27","0.0171","0.0592","0.0171","0.131","0.5151"
"471"," "," "," "," "," "," "," "," "," "
"472","21024200","1996","2016","21","0.21","0.191","0.21","0.458","0.0367"
"473"," "," "," "," "," "," "," "," "," "
"474","21024500","1992","2016","25","0.0659","0.7977","0.0659","0.257","0.2154"
"475"," "," "," "," "," "," "," "," "," "
"476","21029100","1991","2016","26","0.0123","0.379","0.0123","0.111","0.5897"
"477"," "," "," "," "," "," "," "," "," "
"478","21037500","1990","2016","27","0.0525","0.0655","0.0524","0.229","0.2505"
"479"," "," "," "," "," "," "," "," "," "
"480","26000200","1996","2016","21","0.0498","0.1569","0.0498","0.223","0.3307"
"481"," "," "," "," "," "," "," "," "," "
"482","27001900","1999","2016","18","0.0887","0.5059","0.0886","0.298","0.2301"
"483"," "," "," "," "," "," "," "," "," "
"484","27004200","1991","2016","26","0.1446","0.1356","0.1446","0.38","0.0553"
"485"," "," "," "," "," "," "," "," "," "
"486","27004400","1993","2015","23","0.0644","0.0722","0.0643","0.254","0.2427"
"487"," "," "," "," "," "," "," "," "," "
"488","27008800","1990","2016","27","0.0115","0.0308","0.0115","0.107","0.595"
"489"," "," "," "," "," "," "," "," "," "
"490","27009500","2004","2016","13","0.0667","0.0775","0.0668","0.258","0.3943"
"491"," "," "," "," "," "," "," "," "," "
"492","27010400","1990","2016","27","0.3954","0.3951","0.3953","0.629","4e-04"
"493"," "," "," "," "," "," "," "," "," "
"494","27010700","1990","2016","27","0.007","0.0909","0.007","0.084","0.6779"
"495"," "," "," "," "," "," "," "," "," "
"496","27010800","1998","2016","19","5e-04","0.038","5e-04","-0.023","0.9241"
"497"," "," "," "," "," "," "," "," "," "
"498","27011100","1990","2016","27","0.4176","0.5315","0.4176","0.646","3e-04"
"499"," "," "," "," "," "," "," "," "," "
"500","27011600","1990","2016","27","0.0212","0.0238","0.0212","0.146","0.4688"
"501"," "," "," "," "," "," "," "," "," "
"502","27011700","1990","2016","27","0.1178","0.1261","0.1177","0.343","0.0796"
"503"," "," "," "," "," "," "," "," "," "
"504","27011800","1990","2016","27","0.4307","0.5069","0.4307","0.656","2e-04"
"505"," "," "," "," "," "," "," "," "," "
"506","27011900","1990","2016","27","0.2494","0.3048","0.2494","0.499","0.008"
"507"," "," "," "," "," "," "," "," "," "
"508","27012100","1990","2016","27","0.0802","0.1063","0.0802","0.283","0.1523"
"509"," "," "," "," "," "," "," "," "," "
"510","27013300","1990","2016","27","0.0017","0.0046","0.0017","0.042","0.8362"
"511"," "," "," "," "," "," "," "," "," "
"512","27013400","1994","2016","23","0.0433","0.2902","0.0432","0.208","0.3406"
"513"," "," "," "," "," "," "," "," "," "
"514","27013700","1996","2016","21","0.3384","0.3222","0.3384","0.582","0.0057"
"515"," "," "," "," "," "," "," "," "," "
"516","27014400","1998","2016","19","0.052","0.12","0.052","0.228","0.3477"
"517"," "," "," "," "," "," "," "," "," "
"518","27015800","1998","2016","19","0.1181","0.1452","0.1181","0.344","0.1496"
"519"," "," "," "," "," "," "," "," "," "
"520","27015900","1998","2016","19","3e-04","0.0331","3e-04","0.016","0.9487"
"521"," "," "," "," "," "," "," "," "," "
"522","27016000","1992","2016","25","4e-04","0.042","4e-04","0.021","0.9222"
"523"," "," "," "," "," "," "," "," "," "
"524","27017600","1990","2016","27","0.0255","0.0672","0.0254","0.16","0.4263"
"525"," "," "," "," "," "," "," "," "," "
"526","27017800","1996","2016","21","0.0048","0.3748","0.0047","-0.069","0.7663"
"527"," "," "," "," "," "," "," "," "," "
"528","27018400","1996","2016","21","0.1932","0.2965","0.1932","0.44","0.0462"
"529"," "," "," "," "," "," "," "," "," "
"530","27019100","1994","2016","23","0.023","0.2308","0.023","0.152","0.4893"
"531"," "," "," "," "," "," "," "," "," "
"532","29006100","2001","2016","16","7e-04","0.1006","7e-04","0.027","0.9222"
"533"," "," "," "," "," "," "," "," "," "
"534","29007100","1990","2016","27","0.0054","0.0027","0.0054","0.073","0.7159"
"535"," "," "," "," "," "," "," "," "," "
"536","29007200","1996","2016","21","0.1384","0.1447","0.1384","0.372","0.0968"
"537"," "," "," "," "," "," "," "," "," "
"538","29007500","2002","2016","15","0.0046","0.2344","0.0046","-0.068","0.8107"
"539"," "," "," "," "," "," "," "," "," "
"540","29007700","1997","2016","20","0.0018","0.0026","0.0018","0.042","0.8599"
"541"," "," "," "," "," "," "," "," "," "
"542","29008700","1991","2016","26","0.0652","0.1026","0.0652","0.255","0.2081"
"543"," "," "," "," "," "," "," "," "," "
"544","29009200","1994","2016","23","0.0274","0.0274","0.0274","0.166","0.4502"
"545"," "," "," "," "," "," "," "," "," "
"546","29010101","1993","2016","24","0.0031","0.0117","0.0031","-0.056","0.7951"
"547"," "," "," "," "," "," "," "," "," "
"548","29014300","1994","2016","23","2e-04","0.0505","2e-04","0.013","0.9538"
"549"," "," "," "," "," "," "," "," "," "
"550","29014600","1991","2016","26","0.0365","0.6459","0.0365","0.191","0.3498"
"551"," "," "," "," "," "," "," "," "," "
"552","29014800","1991","2001","11","0.0417","0.1896","0.0417","0.204","0.5471"
"553"," "," "," "," "," "," "," "," "," "
"554","29015000","1990","2016","27","0.1018","0.1041","0.1018","0.319","0.1048"
"555"," "," "," "," "," "," "," "," "," "
"556","29015600","1990","2016","27","0.0011","9e-04","0.0011","0.033","0.8686"
"557"," "," "," "," "," "," "," "," "," "
"558","29016100","1991","2016","26","0.0296","0.0591","0.0296","0.172","0.401"
"559"," "," "," "," "," "," "," "," "," "
"560","29018400","1995","2016","22","0.0561","0.1955","0.0561","0.237","0.2888"
"561"," "," "," "," "," "," "," "," "," "
"562","29018500","1991","2016","26","0.0338","0.082","0.0338","0.184","0.3688"
"563"," "," "," "," "," "," "," "," "," "
"564","29018800","1994","2016","23","0.0602","0.0646","0.0602","0.245","0.2592"
"565"," "," "," "," "," "," "," "," "," "
"566","29020800","1994","2016","23","0.0481","0.0535","0.0481","0.219","0.3145"
"567"," "," "," "," "," "," "," "," "," "
"568","29024200","1991","2016","26","0.0011","0.0537","0.0011","-0.033","0.8732"
"569"," "," "," "," "," "," "," "," "," "
"570","29024300","1990","2016","27","0.3734","0.3342","0.3734","0.611","7e-04"
"571"," "," "," "," "," "," "," "," "," "
"572","29025000","1996","2016","21","0.0326","0.0596","0.0326","0.181","0.4333"
"573"," "," "," "," "," "," "," "," "," "
"574","29025400","1991","2016","26","0.3177","0.3731","0.3176","0.564","0.0027"
"575"," "," "," "," "," "," "," "," "," "
"576","29025600","1991","2016","26","0.2398","0.2195","0.2398","0.49","0.0111"
"577"," "," "," "," "," "," "," "," "," "
"578","29031300","1996","2016","21","5e-04","0.0596","5e-04","0.021","0.9263"
"579"," "," "," "," "," "," "," "," "," "
"580","30000900","1990","2016","27","0.0374","0.0528","0.0374","0.193","0.3338"
"581"," "," "," "," "," "," "," "," "," "
"582","30002200","1990","2016","27","0.197","0.2851","0.197","0.444","0.0204"
"583"," "," "," "," "," "," "," "," "," "
"584","30003500","1998","2016","19","0.0494","0.0945","0.0494","0.222","0.3605"
"585"," "," "," "," "," "," "," "," "," "
"586","30007200","1992","2016","25","0.0491","0.0771","0.0491","0.222","0.2869"
"587"," "," "," "," "," "," "," "," "," "
"588","30013500","1992","2016","25","0.0194","0.0179","0.0194","0.139","0.5066"
"589"," "," "," "," "," "," "," "," "," "
"590","30013600","1990","2016","27","0.0072","0.0105","0.0072","-0.085","0.6741"
"591"," "," "," "," "," "," "," "," "," "
"592","31000300","1991","2016","26","0.0042","0.0434","0.0042","0.065","0.7538"
