"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"3035900","1334.141","1334.304","1334.115","1334.745","1334.347","1334.354","1334.367","1334.727","1334.454","1334.406","1334.248","1334.049","1334.064","1334.15","1334.232","1334.562","1334.26","1334.553","1334.5","1334.136","1334.57","1334.368","1333.593","1334.207","1334.3","1333.74","1334.16","1334.158"
"3036000","NaN","NaN","1334.345","1334.703","1334.433","1334.446","1334.458","1334.967","1335.314","1334.968","1334.709","1334.467","1334.633","1334.237","1334.431","1334.745","1334.435","1334.737","1334.71","1334.41","1334.658","1334.521","1334.098","1334.475","1334.561","1334.338","1334.588","1334.284"
"3038100","NaN","NaN","1350.434","1350.67","1350.441","1350.498","1350.493","1350.859","1350.708","1350.632","1350.539","1350.469","1350.393","1350.205","1350.394","1350.078","1350.462","1350.429","1350.503","1350.615","1350.668","1350.573","1350.306","1350.597","1350.511","1350.261","1350.504","1350.453"
"3038300","NaN","1354.59","NaN","1354.485","1354.445","1354.428","1354.466","1354.751","1354.759","1354.756","1354.677","1354.629","1354.571","1354.271","1354.632","1354.594","1354.364","NaN","1354.92","1354.665","1354.699","1354.635","1354.052","1354.243","1354.624","1354.681","1354.676","1354.382"
"3038600","NaN","1328.29","NaN","1328.461","NaN","1327.777","1327.85","1328.373","1328.911","1328.892","1329.242","1328.667","1328.193","1328.176","1328.501","1328.632","1328.474","1328.414","1328.582","1328.418","1328.795","1328.587","1327.977","1328.541","1329.216","1328.01","1328.422","1327.628"
"3047500","NaN","NaN","NaN","NaN","NaN","NaN","1358.05","1357.41","1356.4","NaN","1356.94","1357.678","1357.932","1357.825","1357.669","1357.917","1356.823","1356.311","1356.416","1356.215","1356.63","1356.185","1355.507","1355.859","1356.65","1356.065","1355.927","1356.146"
"3048600","NaN","1336.582","1336.668","1336.877","1336.78","1336.697","1336.885","1337.05","1337.112","1336.927","1336.944","1337.052","1336.994","1336.675","1336.915","1337.062","1336.905","1336.969","1336.965","1336.86","1337.09","1337.053","1336.666","1337.014","1337.411","1336.642","1336.978","1336.943"
"3050300","NaN","NaN","1375.36","1375.48","NaN","NaN","NaN","NaN","NaN","1378.889","1378.279","1377.899","1377.207","1376.729","1376.747","1377.644","1377.572","1377.812","1377.451","1378.119","1378.415","1377.732","1376.795","1377.046","1377.672","1376.637","1376.404","1376.33"
"3050600","NaN","NaN","NaN","NaN","NaN","1324.24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1324.543","1324.386","1324.436","1324.792","1325.143","1324.14","1323.869","1325.081","1324.28","1323.691","1323.597","1323.684"
"3051600","1351.553","1351.364","1350.52","1350.989","1352.259","1352.603","1353.336","1354.778","1355.596","1354.885","1354.719","1354.388","1353.939","1353.42","1353.708","1354.672","1354.411","1354.598","1354.556","1354.849","1354.468","1354.39","1353.434","1354.006","1354.832","1353.828","1353.572","1353.815"
"3057600","1349.636","1349.849","1349.432","1350.068","1350.363","1350.658","1351.048","1352.203","1352.43","1352.576","1352.285","1352.385","1351.288","1351.129","1351.23","1351.66","1351.332","1351.402","1351.48","1351.285","1351.43","1351.306","1351.314","1351.427","1351.634","1351.225","1351.357","1351.228"
"3058200","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1354.877","1354.724","1354.823","1354.75","1355.059","1354.855","1354.518","1353.508","1354.07","1354.83","1353.84","NaN","NaN"
"3058700","1352.972","1353.088","1352.678","1353.429","1353.041","1353.098","1353.289","1354.658","1355.543","1354.948","1354.682","1354.526","1354.222","1353.731","1353.908","1354.867","1354.601","1354.764","1354.818","1354.99","1354.81","1354.614","1353.749","1354.222","1354.88","1354.055","1353.884","1354.093"
"3058800","NaN","NaN","1352.22","1352.5","1352.71","1352.82","1354.04","1354.56","1355.771","1355.204","1354.91","1354.509","1354.234","1353.725","1353.906","1354.868","1355.217","1354.782","1354.704","1355.062","1354.828","1354.615","1353.549","1354.116","1354.903","1353.98","1353.832","1354.035"
"3060200","NaN","NaN","1305.294","1307.512","1307.425","1307.531","1308.21","1310.585","1313.88","1313.47","1313.396","1313.155","1313.029","1312.541","1312.585","1313.365","1313.21","1313.24","1313.438","1313.87","1313.685","1313.566","1312.527","1312.965","1313.736","1312.498","1311.44","1312.75"
